thumbDist, fingerDist, time
0.1261186,0.1529051,10.5524
0.1261186,0.1529051,10.56971
0.1289284,0.1479832,10.58554
0.1289284,0.1479832,10.60211
0.129627,0.1361826,10.61886
0.1250933,0.134674,10.63539
0.1243057,0.1424031,10.65183
0.1243057,0.1424031,10.66869
0.1194884,0.1448476,10.68563
0.1194884,0.1448476,10.70163
0.1225459,0.1521181,10.7183
0.1225459,0.1521181,10.73469
0.1228746,0.1432893,10.75139
0.1228746,0.1432893,10.76845
0.1261331,0.153112,10.785
0.1261331,0.153112,10.80099
0.1325301,0.150192,10.81747
0.1325301,0.150192,10.83406
0.1261876,0.1485423,10.85062
0.1261876,0.1485423,10.86719
0.1290082,0.1495432,10.88371
0.1330257,0.1503331,10.90039
0.1262033,0.155448,10.91686
0.1262033,0.155448,10.93346
0.1262033,0.155448,10.95036
0.123671,0.1548037,10.96659
0.123671,0.1548037,10.98323
0.1309511,0.1538744,10.99983
0.1345449,0.1571503,11.01626
0.1345449,0.1571503,11.03283
0.1345449,0.1571503,11.0496
0.1313184,0.1455521,11.06602
0.1313184,0.1455521,11.08257
0.1318435,0.1603402,11.1042
0.1296201,0.1524585,11.11582
0.1296201,0.1524585,11.13225
0.1296201,0.1524585,11.14891
0.1360226,0.1637647,11.1657
0.1360226,0.1637647,11.18202
0.1225168,0.147439,11.19851
0.1225168,0.147439,11.21509
0.1325051,0.1643007,11.23178
0.1325051,0.1643007,11.24829
0.1354339,0.1567644,11.26484
0.1354339,0.1567644,11.28183
0.1411884,0.1486159,11.29792
0.1411884,0.1486159,11.31471
0.1388578,0.1616887,11.33129
0.1388578,0.1616887,11.34764
0.1480414,0.1597244,11.36417
0.1480414,0.1597244,11.38078
0.1347914,0.1668944,11.39731
0.1347914,0.1668944,11.41458
0.1350772,0.1517345,11.43067
0.1350772,0.1517345,11.44719
0.1278074,0.1496034,11.46553
0.1278074,0.1496034,11.48017
0.1410578,0.14897,11.4973
0.1410578,0.14897,11.51335
0.1323301,0.1543861,11.52983
0.1281625,0.153759,11.54658
0.1207158,0.1519185,11.56302
0.1207158,0.1519185,11.57958
0.1392837,0.1551712,11.59621
0.1392837,0.1551712,11.61285
0.1279978,0.1511317,11.6296
0.1279978,0.1511317,11.64826
0.1263845,0.1350482,11.66236
0.1263845,0.1350482,11.67896
0.1249173,0.1373961,11.69551
0.1249173,0.1373961,11.7121
0.1211547,0.1511842,11.72864
0.1211547,0.1511842,11.74535
0.1201522,0.1412715,11.76191
0.1201522,0.1412715,11.77837
0.1167735,0.1480163,11.79491
0.1167735,0.1480163,11.81167
0.1380829,0.153721,11.82808
0.1380829,0.153721,11.84463
0.1299425,0.1426588,11.86118
0.1075655,0.1426588,11.8778
0.1218609,0.1465924,11.89431
0.1218609,0.1465924,11.91091
0.1370918,0.134977,11.92759
0.1370918,0.134977,11.94402
0.143155,0.1428775,11.96119
0.143155,0.1428775,11.97737
0.1318713,0.1398167,11.99422
0.1318713,0.1398167,12.01026
0.1469305,0.1446612,12.02685
0.1469305,0.1446612,12.04342
0.1485742,0.1435252,12.06042
0.1485742,0.1435252,12.07658
0.1357702,0.1455525,12.09352
0.1357702,0.1455525,12.10969
0.1202423,0.1375598,12.12657
0.1202423,0.1375598,12.14323
0.1277627,0.1377782,12.15938
0.1277627,0.1377782,12.17596
0.1290924,0.1462489,12.19257
0.1290924,0.1462489,12.20938
0.132584,0.1492593,12.22564
0.132584,0.1492593,12.24222
0.1281169,0.1377037,12.25903
0.1281169,0.1377037,12.27552
0.1316102,0.1437313,12.29191
0.1316102,0.1437313,12.30849
0.1258699,0.1342306,12.32503
0.1258699,0.1342306,12.34179
0.1185649,0.1501751,12.35825
0.1185649,0.1501751,12.37476
0.1148161,0.1364998,12.39133
0.1148161,0.1364998,12.40789
0.1365581,0.1514875,12.4247
0.1365581,0.1514875,12.44156
0.122543,0.1318585,12.45833
0.122543,0.1318585,12.47419
0.1391554,0.1441859,12.49075
0.1391554,0.1441859,12.5073
0.1230301,0.1342718,12.52386
0.1230301,0.1342718,12.54046
0.118041,0.1457797,12.55747
0.118041,0.1457797,12.57389
0.1194493,0.1432461,12.59048
0.1194493,0.1432461,12.60672
0.1283321,0.1401491,12.62376
0.1283321,0.1401491,12.63986
0.1220548,0.1583364,12.65645
0.124906,0.1486021,12.67332
0.1253646,0.1570408,12.68954
0.1253646,0.1570408,12.70613
0.1205476,0.16043,12.72264
0.1205476,0.16043,12.73942
0.1257081,0.1428472,12.75577
0.1257081,0.1428472,12.77239
0.1385117,0.1555624,12.78934
0.1385117,0.1555624,12.80549
0.1350428,0.1553002,12.82204
0.1350428,0.1553002,12.8387
0.13512,0.1517998,12.85529
0.13512,0.1517998,12.87218
0.1472913,0.1475786,12.88916
0.1472913,0.1475786,12.90503
0.1387176,0.16328,12.92146
0.1387176,0.16328,12.93804
0.1397184,0.1453267,12.9546
0.1397184,0.1453267,12.97116
0.1279375,0.1398425,12.9883
0.1279375,0.1398425,13.00462
0.1086028,0.1175051,13.02086
0.1086028,0.1175051,13.03744
0.08159653,0.1064083,13.05396
0.08159653,0.1064083,13.07637
0.07227986,0.1056363,13.08748
0.07227986,0.1056363,13.10369
0.1025484,0.09830626,13.12025
0.1025484,0.09830626,13.13682
0.1050792,0.108888,13.15335
0.1050792,0.108888,13.17033
0.09545658,0.1030593,13.18649
0.09545658,0.1030593,13.20312
0.09614576,0.1101116,13.21963
0.09614576,0.1101116,13.23679
0.08433564,0.1134882,13.25276
0.08433564,0.1134882,13.26936
0.09730445,0.1114512,13.28636
0.09730445,0.1114512,13.30289
0.09197707,0.1110417,13.31976
0.08997712,0.1095098,13.3357
0.09184667,0.1064052,13.35219
0.09184667,0.1064052,13.36882
0.09672152,0.1090809,13.38541
0.09672152,0.1090809,13.40206
0.1013425,0.107175,13.4185
0.1013425,0.107175,13.43958
0.09552584,0.1172075,13.45211
0.09552584,0.1172075,13.46829
0.1040003,0.1170988,13.48468
0.1040003,0.1170988,13.50133
0.1146075,0.138977,13.51826
0.1146075,0.138977,13.53522
0.1233576,0.1481506,13.55111
0.1233576,0.1481506,13.56764
0.1120495,0.183119,13.58416
0.1120495,0.183119,13.60078
0.1231925,0.1486456,13.62241
0.1231925,0.1486456,13.63379
0.1231925,0.1486456,13.6504
0.1249373,0.1686872,13.667
0.1497575,0.1504494,13.68445
0.1497575,0.1504494,13.70011
0.1497575,0.1504494,13.7168
0.1391961,0.1751584,13.73343
0.1391961,0.1751584,13.74979
0.1417594,0.1568729,13.76636
0.1417594,0.1568729,13.78292
0.127933,0.1406175,13.7998
0.1343814,0.1477908,13.81606
0.1343814,0.1477908,13.83268
0.1343814,0.1477908,13.84922
0.1318057,0.1250846,13.86575
0.1318057,0.1250846,13.88256
0.1134195,0.1108861,13.89921
0.1134195,0.1108861,13.91578
0.09114286,0.09496102,13.93204
0.09114286,0.09496102,13.94885
0.09225393,0.1061705,13.96537
0.09225393,0.1061705,13.9818
0.09140674,0.09611038,13.99863
0.09140674,0.09611038,14.01488
0.08349382,0.08403526,14.03142
0.08349382,0.08403526,14.04817
0.09962513,0.1077082,14.06452
0.09962513,0.1077082,14.08125
0.103584,0.1054699,14.09785
0.103584,0.1054699,14.11463
0.1015429,0.1080214,14.13082
0.1004653,0.105794,14.14759
0.1015831,0.1103664,14.16444
0.1015831,0.1103664,14.18055
0.105936,0.12659,14.19713
0.105936,0.12659,14.21389
0.1140657,0.1326741,14.23043
0.1140657,0.1326741,14.24682
0.1112792,0.1475563,14.26333
0.1112792,0.1475563,14.27992
0.1284582,0.1422194,14.2965
0.1284582,0.1422194,14.31306
0.1305161,0.1463033,14.32999
0.1305161,0.1463033,14.34618
0.1424736,0.1664602,14.36281
0.1424736,0.1664602,14.37948
0.1476134,0.151638,14.39589
0.1364805,0.1725375,14.41269
0.1267029,0.1678856,14.42961
0.1267029,0.1678856,14.44561
0.1413397,0.1574742,14.46242
0.1413397,0.1574742,14.47879
0.1329181,0.1444805,14.49545
0.1329181,0.1444805,14.51245
0.1592252,0.1451787,14.52868
0.1592252,0.1451787,14.54542
0.1408401,0.1452925,14.56157
0.1408401,0.1452925,14.57812
0.1400426,0.1432905,14.59467
0.1400426,0.1432905,14.6115
0.138646,0.143035,14.62783
0.1869999,0.1557684,14.64442
0.1362448,0.1339828,14.66107
0.1362448,0.1339828,14.67754
0.1381649,0.1446523,14.69407
0.1381649,0.1446523,14.7108
0.1357928,0.1537119,14.72721
0.1357928,0.1537119,14.74378
0.1273379,0.1617312,14.76033
0.1273379,0.1617312,14.77692
0.1291443,0.15001,14.79347
0.1291443,0.15001,14.81024
0.1400149,0.1531511,14.82681
0.1400149,0.1531511,14.8433
0.1333383,0.1406237,14.85977
0.1333383,0.1406237,14.88157
0.1303947,0.1420313,14.89288
0.1283976,0.1386825,14.90951
0.1314391,0.1472213,14.92606
0.1314391,0.1472213,14.9426
0.1295616,0.1524974,14.95919
0.1295616,0.1524974,14.97573
0.1332044,0.1524207,14.99254
0.1332044,0.1524207,15.00889
0.1313822,0.1597506,15.02542
0.1313822,0.1597506,15.04212
0.131183,0.1456879,15.05866
0.131183,0.1456879,15.07516
0.1360192,0.1502676,15.09208
0.1360192,0.1502676,15.1086
0.1295189,0.1578823,15.12479
0.1295189,0.1578823,15.14139
0.1290721,0.1557751,15.15799
0.1290721,0.1557751,15.17453
0.1303915,0.1807157,15.19107
0.1303915,0.1807157,15.20787
0.130383,0.1564838,15.22434
0.130383,0.1564838,15.24081
0.1286841,0.1648529,15.25745
0.1286841,0.1648529,15.27417
0.1232736,0.172806,15.29048
0.1232736,0.172806,15.30706
0.1307015,0.1774908,15.32359
0.1307015,0.1774908,15.34019
0.1241497,0.179997,15.35674
0.1241497,0.179997,15.37347
0.1259828,0.1785966,15.3899
0.1259828,0.1785966,15.40669
0.1282858,0.1778233,15.42302
0.1282858,0.1778233,15.43973
0.1297742,0.1765961,15.45614
0.1297742,0.1765961,15.47274
0.12887,0.1762914,15.48931
0.12887,0.1762914,15.50586
0.1308347,0.1879381,15.52256
0.1538355,0.1474801,15.53942
0.1348926,0.1708924,15.55587
0.1348926,0.1708924,15.57248
0.1338403,0.1608177,15.58867
0.1338403,0.1608177,15.60534
0.1354616,0.167293,15.62186
0.1354616,0.167293,15.63862
0.1296692,0.1636405,15.65498
0.1296692,0.1636405,15.67153
0.1312456,0.1613529,15.68824
0.1312456,0.1613529,15.70466
0.140006,0.1613212,15.7212
0.140006,0.1613212,15.7378
0.134776,0.1614656,15.75434
0.1312188,0.1469626,15.77209
0.1350206,0.1638871,15.78748
0.1350206,0.1638871,15.8041
0.1304538,0.1605792,15.82063
0.1304538,0.1605792,15.8372
0.1298264,0.1585327,15.85387
0.1298264,0.1585327,15.87034
